waypoint1	waypoint2	distance_m	duration_s
Venice Beach, CA	Warehouse District, New Orleans, LALouisville, KY	3541670	112353
North Park, San Diego, CA	The Uptown, Oakland, CA	789953	26413
Boulder, CO	LoHi, Denver, CO	43130	1975
Highland Park, Los Angeles, CA	Savannah, GA	3887858	122855
Kansas City, MO	Allston-Brighton, Boston, MA	2298141	75868
Silver Lake, Los Angeles, CA	Williamsburg, Brooklyn, NY	4477110	144458
North Park, San Diego, CA	Asheville, NC	3721525	117393
East Nashville, Nashville, TN	Williamsburg, Brooklyn, NY	1427435	47198
Capitol Hill, Seattle, WA	The Uptown, Oakland, CA	1290951	43950
Williamsburg, Brooklyn, NY	Pearl District, Portland, OR	4662949	150909
The Uptown, Oakland, CA	Arts District, Los Angeles, CA	600266	19586
Asheville, NC	Arts District, Los Angeles, CA	3697253	117416
North Park, San Diego, CA	Savannah, GA	3838062	119488
Pearl District, Portland, OR	North Loop, Minneapolis, MN	2780904	89317
Westheimer Road, Houston, TX	Downtown, Portland, OR	3536296	119534
Silver Lake, Los Angeles, CA	Venice Beach, CA	32010	1781
Charleston, SC	Bushwick, Brooklyn, NY	1228347	41630
Kansas City, MO	East Nashville, Nashville, TN	890477	28869
Williamsburg, Brooklyn, NY	Northern Liberties, Philadelphia, PA	156098	6279
Kansas City, MO	Providence, RI	2208144	74841
H Street Corridor, Washington, DC	East Nashville, Nashville, TN	1076968	35272
Savannah, GA	Alberta, Portland, OR	4569595	146889
Westheimer Road, Houston, TX	Allston-Brighton, Boston, MA	2979155	97516
Pearl District, Portland, OR	Wicker Park, Chicago, IL	3410497	109995
North Park, San Diego, CA	East Nashville, Nashville, TN	3254942	101928
Wicker Park, Chicago, IL	Bushwick, Brooklyn, NY	1282861	43873
Silver Lake, Los Angeles, CA	H Street Corridor, Washington, DC	4304494	136854
North Park, San Diego, CA	Charleston, SC	3919593	123179
Little Five Points, Atlanta, GA	Warehouse District, New Orleans, LALouisville, KY	587631	19268
East Nashville, Nashville, TN	The Uptown, Oakland, CA	3692662	117400
Los Feliz, Los Angeles, CA	Arts District, Los Angeles, CA	11065	852
Warehouse District, New Orleans, LALouisville, KY	Arts District, Los Angeles, CA	3513936	110801
Little Five Points, Atlanta, GA	North Loop, Minneapolis, MN	1819324	59321
H Street Corridor, Washington, DC	Charleston, SC	857941	28057
Portland, ME	North Loop, Minneapolis, MN	2408265	80315
H Street Corridor, Washington, DC	LoHi, Denver, CO	2675412	87581
H Street Corridor, Washington, DC	Hampden, Baltimore, MD	65396	3226
Providence, RI	Savannah, GA	1577214	52879
Kansas City, MO	Bushwick, Brooklyn, NY	1925771	65369
Highland Park, Los Angeles, CA	LoHi, Denver, CO	1628419	52431
Capitol Hill, Seattle, WA	Asheville, NC	4370604	140705
H Street Corridor, Washington, DC	Wicker Park, Chicago, IL	1138693	38558
Savannah, GA	Asheville, NC	498607	16158
Highland Park, Los Angeles, CA	Arts District, Los Angeles, CA	12512	778
Kansas City, MO	Little Five Points, Atlanta, GA	1287977	41877
Warehouse District, New Orleans, LALouisville, KY	Somerville, MA	1477068	50276
Boulder, CO	Charleston, SC	2773150	88448
Los Feliz, Los Angeles, CA	Asheville, NC	3701541	117617
Williamsburg, Brooklyn, NY	The Uptown, Oakland, CA	4671214	151024
East Austin, Austin, TX	North Loop, Minneapolis, MN	1889333	59767
Boulder, CO	Allston-Brighton, Boston, MA	3188557	102836
Silver Lake, Los Angeles, CA	Portland, ME	4962038	159703
Venice Beach, CA	Little Five Points, Atlanta, GA	3531863	112401
Venice Beach, CA	Boulder, CO	1682745	55321
East Austin, Austin, TX	Warehouse District, New Orleans, LALouisville, KY	1751125	56815
H Street Corridor, Washington, DC	Boulder, CO	2707514	88806
Boulder, CO	Williamsburg, Brooklyn, NY	2889958	93611
Highland Park, Los Angeles, CA	Warehouse District, New Orleans, LALouisville, KY	3505911	110522
Savannah, GA	Allston-Brighton, Boston, MA	1625927	54629
East Austin, Austin, TX	Bushwick, Brooklyn, NY	2812736	92007
Little Five Points, Atlanta, GA	Asheville, NC	335883	11945
North Loop, Minneapolis, MN	Northern Liberties, Philadelphia, PA	1891286	63195
Boulder, CO	Somerville, MA	3194413	103755
LoHi, Denver, CO	Wynwood, Miami, FL	3314233	104167
Williamsburg, Brooklyn, NY	Downtown, Portland, OR	4661935	150877
H Street Corridor, Washington, DC	Somerville, MA	700510	25621
East Austin, Austin, TX	Wynwood, Miami, FL	2165100	68855
Venice Beach, CA	Alberta, Portland, OR	1558953	51773
Los Feliz, Los Angeles, CA	Charleston, SC	3981702	127027
Silver Lake, Los Angeles, CA	North Loop, Minneapolis, MN	3103417	98068
Highland Park, Los Angeles, CA	The Uptown, Oakland, CA	600170	19512
Highland Park, Los Angeles, CA	Providence, RI	4769624	153541
LoHi, Denver, CO	Wicker Park, Chicago, IL	1610861	51097
Bushwick, Brooklyn, NY	Downtown, Portland, OR	4665667	151366
Providence, RI	Bushwick, Brooklyn, NY	290267	11086
Providence, RI	The Mission, San Francisco, CA	4964317	159833
Savannah, GA	Los Feliz, Los Angeles, CA	3900171	123336
Capitol Hill, Seattle, WA	Allston-Brighton, Boston, MA	4907025	159512
Allston-Brighton, Boston, MA	Hampden, Baltimore, MD	653680	23372
LoHi, Denver, CO	Charleston, SC	2740723	87154
Kansas City, MO	The Uptown, Oakland, CA	2896279	92826
Venice Beach, CA	Asheville, NC	3724987	118968
H Street Corridor, Washington, DC	Allston-Brighton, Boston, MA	697836	25224
East Nashville, Nashville, TN	Downtown, Portland, OR	3777458	121313
North Park, San Diego, CA	Allston-Brighton, Boston, MA	4821643	156176
Allston-Brighton, Boston, MA	The Mission, San Francisco, CA	4982377	160153
The Uptown, Oakland, CA	Wicker Park, Chicago, IL	3417568	109367
Providence, RI	Charleston, SC	1508826	51101
Kansas City, MO	Savannah, GA	1684890	54305
North Park, San Diego, CA	Downtown, Portland, OR	1740286	57950
Los Feliz, Los Angeles, CA	Northern Liberties, Philadelphia, PA	4370630	140413
Westheimer Road, Houston, TX	Savannah, GA	1565357	51379
LoHi, Denver, CO	Downtown, Portland, OR	1992936	65189
Portland, ME	Savannah, GA	1790340	60113
East Austin, Austin, TX	LoHi, Denver, CO	1478687	49303
East Nashville, Nashville, TN	Charleston, SC	885483	29172
Williamsburg, Brooklyn, NY	North Loop, Minneapolis, MN	1941749	65308
Boulder, CO	Wynwood, Miami, FL	3346660	105461
Savannah, GA	Wicker Park, Chicago, IL	1539522	50630
East Austin, Austin, TX	Somerville, MA	3156857	103650
Kansas City, MO	Hampden, Baltimore, MD	1701100	57504
H Street Corridor, Washington, DC	Alberta, Portland, OR	4519222	146192
North Loop, Minneapolis, MN	Asheville, NC	1712201	56844
